id,transcription
ee_r1_01,[À REMPLIR PAR BABACAR]
ee_r1_02,[À REMPLIR PAR BABACAR]
ee_r1_03,[À REMPLIR PAR BABACAR]
ee_r1_04,[À REMPLIR PAR BABACAR]
ee_r1_05,[À REMPLIR PAR BABACAR]
ee_r1_06,[À REMPLIR PAR BABACAR]
ee_r1_07,[À REMPLIR PAR BABACAR]
ee_r1_08,[À REMPLIR PAR BABACAR]
ee_r1_09,[À REMPLIR PAR BABACAR]
ee_r1_10,[À REMPLIR PAR BABACAR]
ee_r1_11,[À REMPLIR PAR BABACAR]
ee_r1_12,[À REMPLIR PAR BABACAR]
ee_r1_13,[À REMPLIR PAR BABACAR]
ee_r1_14,[À REMPLIR PAR BABACAR]
ee_r1_15,[À REMPLIR PAR BABACAR]
ee_r1_16,[À REMPLIR PAR BABACAR]
ee_r1_17,[À REMPLIR PAR BABACAR]
ee_r1_18,[À REMPLIR PAR BABACAR]
ee_r1_19,[À REMPLIR PAR BABACAR]
ee_r1_20,[À REMPLIR PAR BABACAR]
ee_r1_21,[À REMPLIR PAR BABACAR]
ee_r1_22,[À REMPLIR PAR BABACAR]
ee_r1_23,[À REMPLIR PAR BABACAR]
ee_r1_24,[À REMPLIR PAR BABACAR]
ee_r1_25,[À REMPLIR PAR BABACAR]
ee_r1_26,[À REMPLIR PAR BABACAR]
ee_r1_27,[À REMPLIR PAR BABACAR]
ee_r1_28,[À REMPLIR PAR BABACAR]
ee_r1_29,[À REMPLIR PAR BABACAR]
ee_r1_30,[À REMPLIR PAR BABACAR]
ee_r1_31,[À REMPLIR PAR BABACAR]
ee_r1_32,[À REMPLIR PAR BABACAR]
ee_r1_33,[À REMPLIR PAR BABACAR]
ee_r1_34,[À REMPLIR PAR BABACAR]
ee_r1_35,[À REMPLIR PAR BABACAR]
ee_r1_36,[À REMPLIR PAR BABACAR]
ee_r1_37,[À REMPLIR PAR BABACAR]
ee_r1_38,[À REMPLIR PAR BABACAR]
ee_r1_39,[À REMPLIR PAR BABACAR]
ee_r1_40,[À REMPLIR PAR BABACAR]
